pk,line_num_tot,page_num,page_line_num,section,subsection,subsubsection,vintage,merged_text_ext,base_year,cuvee_name,disgorg_year,price,merged_text,producer,dryness,country,state,region,subregion,commune,vineyard,style,classification,volume,series,variety
0,0,6,0,sparkling wine,champagne,côte des bar (aube),nv,vouette et sorbée extra-brut barséquanais,19,blanc d’argile,2022,550,nv (19) vouette et sorbée ‘blanc d’argile’ extra-brut (disg 2022) barséquanais 550,vouette et sorbée,extra-brut,,,champagne,côte des bar (aube),barséquanais,,,,,,
1,1,6,1,sparkling wine,champagne,côte des bar (aube),nv,vouette et sorbée brut nature barséquanais,19,fidèle,2022,465,nv (19) vouette et sorbée ‘ fidèle ’ brut nature (disg 2022) barséquanais 465,vouette et sorbée,brut nature,,,champagne,côte des bar (aube),barséquanais,,,,,,
2,2,6,2,sparkling wine,champagne,côte des bar (aube),2020,cedric bouchard extra-brut celles-sur-ource,,les ursules,2024,1200,"2020 cedric bouchard ‘les ursules’ extra-brut (disg 2024) celles-sur-ource 1,200",cedric bouchard,extra-brut,,,champagne,côte des bar (aube),celles-sur-ource,,,,,,
3,3,6,3,sparkling wine,champagne,côte des bar (aube),2022,cedric bouchard extra-brut celles-sur-ource,,val vilaine,2024,980,2022 cedric bouchard ‘val vilaine’ extra-brut (disg 2024) celles-sur-ource 980,cedric bouchard,extra-brut,,,champagne,côte des bar (aube),celles-sur-ource,,,,,,
4,4,6,4,sparkling wine,champagne,côte des blancs,2012,pascal agrapart brut nature avize,,expérience,2018,1300,"2012 pascal agrapart ‘expérience’ brut nature (disg 2018) avize 1,300",pascal agrapart,brut nature,,,champagne,côte des blancs,avize,,,,,,
5,5,6,5,sparkling wine,champagne,côte des blancs,nv,agrapart & fils extra-brut avize,21,terroirs,2024,580,nv (21) agrapart & fils ‘terroirs’ extra-brut (disg 2024) avize 580,agrapart & fils,extra-brut,,,champagne,côte des blancs,avize,,,,,,
6,6,6,6,sparkling wine,champagne,côte des blancs,nv,jacques selosse brut avize,,substance,2017,1850,"nv jacques selosse ‘substance’ brut (disg 2017) avize 1,850",jacques selosse, brut,,,champagne,côte des blancs,avize,,,,,,
7,7,6,7,sparkling wine,champagne,côte des blancs,nv,jacques selosse brut avize,,substance,2020,1650,"nv jacques selosse ‘substance’ brut (disg 2020) avize 1,650",jacques selosse, brut,,,champagne,côte des blancs,avize,,,,,,
8,8,6,8,sparkling wine,champagne,côte des blancs,nv,jacques selosse brut avize/ambonnay,,rose,2024,1320,"nv jacques selosse ‘rose’ brut (disg 2024) avize/ambonnay 1,320",jacques selosse, brut,,,champagne,côte des blancs,avize/ambonnay,,,,,,
9,9,6,9,sparkling wine,champagne,côte des blancs,2016,pascal agrapart extra-brut avize,,l’avizoise,2021,915,2016 pascal agrapart ‘l’avizoise’ extra-brut (disg 2021) avize 915,pascal agrapart,extra-brut,,,champagne,côte des blancs,avize,,,,,,
10,10,6,10,sparkling wine,champagne,côte des blancs,2016,pascal agrapart extra-brut avize,,minéral,2021,720,2016 pascal agrapart ‘minéral’ extra-brut (disg 2021) avize 720,pascal agrapart,extra-brut,,,champagne,côte des blancs,avize,,,,,,
11,11,6,11,sparkling wine,champagne,côte des blancs,nv,ulysse collin extra-brut congy,19,les pierrières,2024,800,nv (19) ulysse collin ‘les pierrières’ extra-brut (disg 2024) congy 800,ulysse collin,extra-brut,,,champagne,côte des blancs,congy,,,,,,
12,12,6,12,sparkling wine,champagne,côte des blancs,2008,krug vintage brut le mesnil-sur-oger,,clos du mesnil,2019,4620,"2008 krug vintage ‘clos du mesnil’ brut (disg 2019) le mesnil-sur-oger 4,620",krug, brut,,,champagne,côte des blancs,le mesnil-sur-oger,,vintage,,,,
13,13,6,13,sparkling wine,champagne,côte des blancs,nv,pertois- moriset brut le mesnil-sur-oger,20,les quatre terroirs,2023,400,nv (20) pertois- moriset ‘les quatre terroirs’ brut (disg 2023) le mesnil-sur-oger 400,pertois-moriset, brut,,,champagne,côte des blancs,le mesnil-sur-oger,,,,,,
14,14,6,14,sparkling wine,champagne,côte des blancs,nv,jérôme prévost extra-brut mesnil/puisieulx,21,grand cru,2023,1300,"nv (21) jérôme prévost ‘grand cru’ extra-brut (disg 2023) mesnil/puisieulx 1,300",jérôme prévost,extra-brut,,,champagne,côte des blancs,mesnil/puisieulx,,,,,,
15,15,6,15,sparkling wine,champagne,côte des blancs,nv,larmandier- bernier extra-brut vertus,21,latitude,2024,380,nv (21) larmandier- bernier ‘latitude’ extra-brut (disg 2024) vertus 380,larmandier-bernier,extra-brut,,,champagne,côte des blancs,vertus,,,,,,
16,16,6,16,sparkling wine,champagne,côte de sézanne,nv,ulysse collin extra-brut barbonne-fayel,18,les maillons,2022,720,nv (18) ulysse collin ‘les maillons’ extra-brut (disg 2022) barbonne-fayel 720,ulysse collin,extra-brut,,,champagne,côte de sézanne,barbonne-fayel,,,,,,
17,17,6,17,sparkling wine,champagne,montagne de reims,nv,"egly-ouriet ‘les crayères’, vv, bdn brut ambonnay",11,"",2017,1170,"nv (11) egly-ouriet ‘les crayères’, vv, bdn brut (disg 2017) ambonnay 1,170",egly-ouriet, brut,,,champagne,montagne de reims,ambonnay,,,,,,
18,18,6,18,sparkling wine,champagne,montagne de reims,nv,egly- ouriet grand cru extra brut ambonnay,14,vp,2022,860,nv (14) egly- ouriet ‘vp’ grand cru extra brut (disg 2022) ambonnay 860,egly-ouriet,extra-brut,,,champagne,montagne de reims,ambonnay,,,grand cru,,,
19,19,6,19,sparkling wine,champagne,montagne de reims,2012,egly- ouriet brut ambonnay,,grand cru millésime,2021,1300,"2012 egly- ouriet ‘grand cru millésime’ brut (disg 2021) ambonnay 1,300",egly-ouriet, brut,,,champagne,montagne de reims,ambonnay,,,,,,
20,20,6,20,sparkling wine,champagne,montagne de reims,nv,egly- ouriet brut rosé ambonnay,16,grand cru rosé,2021,830,nv (16) egly- ouriet ‘grand cru rosé’ brut rosé (disg 2021) ambonnay 830,egly-ouriet, brut,,,champagne,montagne de reims,ambonnay,,rosé,,,,
21,21,6,21,sparkling wine,champagne,montagne de reims,2020,frédéric savart extra-brut ecueil,,le mont des chrétiens,2024,1080,"2020 frédéric savart ‘le mont des chrétiens’ extra-brut (disg 2024) ecueil 1,080",frédéric savart,extra-brut,,,champagne,montagne de reims,ecueil,,,,,,
22,22,6,22,sparkling wine,champagne,montagne de reims,nv,jérôme prévost la closerie extra-brut gueux,20,béguines,2022,700,nv (20) jérôme prévost la closerie ‘béguines’ extra-brut (disg 2022) gueux 700,jérôme prévost,extra-brut,,,champagne,montagne de reims,gueux,,,,,la closerie,
23,23,6,23,sparkling wine,champagne,montagne de reims,nv,jérôme prévost la closerie extra-brut gueux,21,lc 21,2023,590,nv (21) jérôme prévost la closerie ‘lc 21’ extra-brut (disg 2023) gueux 590,jérôme prévost,extra-brut,,,champagne,montagne de reims,gueux,,,,,la closerie,
24,24,6,24,sparkling wine,champagne,montagne de reims,nv,bérêche et fils brut grande montagne,21,réserve,2023,370,nv (21) bérêche et fils ‘réserve’ brut (disg 2023) grande montagne 370,bérêche et fils, brut,,,champagne,montagne de reims,grande montagne,,,,,,
25,25,6,25,sparkling wine,champagne,montagne de reims,nv,charles heidsieck brut reims,19,réserve,2024,220,nv (19) charles heidsieck ‘réserve’ brut (disg 2024) reims 220,charles heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
26,26,6,26,sparkling wine,champagne,montagne de reims,nv,charles heidsieck brut rosé reims,18,rosé réserve,2022,380,nv (18) charles heidsieck ‘rosé réserve’ brut rosé (disg 2022) reims 380,charles heidsieck, brut,,,champagne,montagne de reims,reims,,rosé,,,,
27,27,6,27,sparkling wine,champagne,montagne de reims,2004,charles heidsieck brut reims,,blanc des millénaires,2016,870,2004 charles heidsieck ‘blanc des millénaires’ brut (disg 2016) reims 870,charles heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
28,28,6,28,sparkling wine,champagne,montagne de reims,1981,charles heidsieck brut reims,,collection crayères,1988,1750,"1981 charles heidsieck ‘collection crayères’ brut (disg 1988) reims 1,750",charles heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
29,29,6,29,sparkling wine,champagne,montagne de reims,1996,charles heidsieck brut reims,,collection crayères,2021,1600,"1996 charles heidsieck ‘collection crayères’ brut (disg 2021) reims 1,600",charles heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
30,30,6,30,sparkling wine,champagne,montagne de reims,1981,charles heidsieck brut blanc de blancs reims,,collection crayères,,2900,"1981 charles heidsieck ‘collection crayères’ brut blanc de blancs reims 2,900",charles heidsieck, brut,,,champagne,montagne de reims,reims,,blanc,,,,
31,31,6,31,sparkling wine,champagne,montagne de reims,2008,charles heidsieck brut rosé reims,,millésime,2019,620,2008 charles heidsieck ‘ millésime ’ brut rosé (disg 2019) reims 620,charles heidsieck, brut,,,champagne,montagne de reims,reims,,rosé,,,,
32,32,7,0,sparkling wine,champagne,montagne de reims,1996,henriot brut reims,,cuvée des enchanteleurs,2008,1545,"1996 henriot ‘cuvée des enchanteleurs’ brut (disg 2008) reims 1,545",henriot, brut,,,champagne,montagne de reims,reims,,,,,,
33,33,7,1,sparkling wine,champagne,montagne de reims,nv,henriot brut rosé reims,13,"",2017,340,nv (13) henriot brut rosé (disg 2017) reims 340,henriot, brut,,,champagne,montagne de reims,reims,,rosé,,,,
34,34,7,2,sparkling wine,champagne,montagne de reims,nv,krug brut reims,,grande cuvée 172eme,2023,695,nv krug ‘grande cuvée 172eme’ brut (disg 2023) reims 695,krug, brut,,,champagne,montagne de reims,reims,,,,,,
35,35,7,3,sparkling wine,champagne,montagne de reims,2000,krug vintage brut reims,,late disgorged collection,2010,1985,"2000 krug vintage ‘late disgorged collection’ brut (disg 2010) reims 1,985",krug, brut,,,champagne,montagne de reims,reims,,vintage,,,,
36,36,7,4,sparkling wine,champagne,montagne de reims,2008,krug vintage brut reims,,"",2019,1400,"2008 krug vintage brut (disg 2019) reims 1,400",krug, brut,,,champagne,montagne de reims,reims,,vintage,,,,
37,37,7,5,sparkling wine,champagne,montagne de reims,1971,piper- heidsieck brut reims,,hors - série,2021,1245,"1971 piper- heidsieck ‘hors - série’ brut (disg 2021) reims 1,245",piper-heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
38,38,7,6,sparkling wine,champagne,montagne de reims,2008,piper- heidsieck brut reims,,rare,2020,825,2008 piper- heidsieck ‘rare’ brut (disg 2020) reims 825,piper-heidsieck, brut,,,champagne,montagne de reims,reims,,,,,,
39,39,7,7,sparkling wine,champagne,montagne de reims,2007,taittinger brut rosé reims,,comtes de champagne,2018,1185,"2007 taittinger ‘comtes de champagne’ brut rosé (disg 2018) reims 1,185",taittinger, brut,,,champagne,montagne de reims,reims,,rosé,,,,
40,40,7,8,sparkling wine,champagne,montagne de reims,2009,taittinger brut rosé reims,,comtes de champagne,2022,1350,"2009 taittinger ‘comtes de champagne’ brut rosé (disg 2022) reims 1,350",taittinger, brut,,,champagne,montagne de reims,reims,,rosé,,,,
41,41,7,9,sparkling wine,champagne,montagne de reims,nv,taittinger brut reims,17,prélude,2022,370,nv (17) taittinger ‘prélude’ brut (disg 2022) reims 370,taittinger, brut,,,champagne,montagne de reims,reims,,,,,,
42,42,7,10,sparkling wine,champagne,montagne de reims,2018,r.pouillon brut tauxières,,les terres froides,2022,465,2018 r.pouillon ‘les terres froides’ brut (disg 2022) tauxières 465,r.pouillon, brut,,,champagne,montagne de reims,tauxières,,,,,,
